country,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GNP.PCAP.CD,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.MMRT,SH.XPD.CHEX.GD.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,IT.NET.SECR.P6,SP.URB.TOTL.IN.ZS,SL.EMP.VULN.ZS,SP.POP.DPND,SP.POP.GROW,EN.ATM.PM25.MC.M3,EN.GHG.ALL.PC.CE.AR5
Azerbaijan,2.3474643652616454,45.8408458162374,8.806873266530692,89,51,2.8903717578961645,4.27113533,2.580216829592325,74.429,1.55,6.309438833880584,58.5075350483702,54.2004925396543,43.5853062725148,0.120242150339289,3.1660608494032827,1.792875848692105
Burundi,5.834144318185881,17.3685971500712,5.634789603169249,7.172299862,89,5.971261839790462,9.09471226,3.4468078929142076,63.651,4.878,2.332134427195302,23.5534768372276,83.7853771767574,91.846666183644,2.72764441044431,3.5749213177611834,-0.5140535041141724
Belgium,0.8804667782942898,19.4830082750909,10.924498595180687,94.62625074,98,1.3862943611198906,10.80371571,1.1631508098056809,82.4,1.47,10.424201690172003,87.551492636772,11.2062097881447,57.321807211007,0.850263748167955,2.134070243380601,2.208542960195499
Benin,5.040036941011078,17.3021977561605,7.237059026124737,32.39400101,69,6.249975242259483,3.33732462,3.8394523125933104,60.774,4.556,2.517828929383004,51.7457922964593,79.2295047303335,81.5677814531873,2.52274772277722,3.680256280871624,0.20686022045391964
Burkina Faso,4.360142774666949,25.7574137805107,6.733401891837359,25.36120033,91,5.488937726156687,7.79943228,3.8044377947482086,61.092,4.186,3.1172145275047325,27.7872478365158,80.7952002997066,81.8908186351026,2.26973666268599,3.6196537641198763,0.40701104822369094
Bangladesh,3.317181035300877,34.5942721606063,7.965545573129992,44.50274195,97,4.74493212836325,2.17014575,3.1945831322991562,74.672,2.163,5.961438257021124,32.1578465036834,58.1775397771731,53.0958193080833,1.22171475464107,4.2377599939772175,0.23011743380024668
Bulgaria,1.5882214319170611,22.7029885584048,9.563810184965966,80.38956462,92,1.791759469228055,7.91853094,1.5686159179138452,75.7560975609756,1.81,10.898670194262795,73.7322671584613,7.18531662064668,57.1601451805102,-0.286577641861364,2.97972192016528,2.041742179618293
Bahrain,0.5014905848751808,43.4381277604186,10.256254871643844,100,99,2.833213344056216,3.99562383,1.9740810260220096,81.284,1.824,8.626604313162483,100,0.943956184784735,29.2488272145239,3.37686417721007,4.0353989857379275,3.7173198013504027
"Bahamas, The",0.6741270140563453,9.77716369922666,10.46823301829155,92.38729858,87,4.330733340286331,6.30260801,2.424802725718295,74.552,1.373,8.76935289067905,81.3213799173676,16.0789212824029,42.5030859572889,0.477303918283875,1.6642884606185193,1.4994044129034225
Bosnia and Herzegovina,2.157132890269749,23.721885700131,9.021598247379305,83.3771539,73,1.791759469228055,8.9216938,1.667706820558076,77.85,1.486,8.58408038972197,51.5657239834305,18.7797277887073,53.5210215348666,-0.617510129445164,3.261502115387979,2.180825492423299
Belarus,2.69232233796377,31.6950575540559,8.968268810776454,91.51249979,98,0,7.08167362,0.6418538861723947,74.1837804878049,1.208,9.388225209140751,78.8146420666327,6.6337809269145,50.9143686597634,-0.540824986374776,2.4836037435005363,2.2482970729386866
Belize,2.8525631179106377,14.409549271611,8.83200393125627,70.18720245,85,4.204692619390966,4.14735794,2.388762789235098,73.566,2.007,12.913353035443272,41.9459437504976,30.1745007060722,46.7004478384213,2.05772774277288,2.8192731898226646,0.8901034707712377
Bolivia,3.0513898632533847,29.7722060416097,8.349957272040324,77.30039978,67,4.983606621708336,6.91864729,2.7013612129514133,68.581,2.547,5.788750601895665,70.9151414044538,63.0558406178017,55.5037371721243,1.37334382280772,3.3371010540768467,1.5417286426242125
Brazil,2.454192379432073,22.1441739234284,9.138844370271112,84.15060238,90,4.204692619390966,9.73092747,2.517696472610991,75.848,1.619,8.635627207463912,87.6159710235763,27.0083134719641,44.0290947589819,0.395928695574996,2.5939641225999224,1.81541591382636
Barbados,1.2854630274559824,12.2874215528647,10.114963298982655,69.67510223,85,3.5553480614894135,5.40463829,2.2407096892759584,76.178,1.708,6.965101001333127,59.4235740235775,19.2520697352434,50.5580529737051,0.00637558575909917,2.389500975816366,1.1468868922079334
Brunei Darussalam,1.0831076685358338,61.7411860091314,10.445521103426312,98.97039795,99,3.58351893845611,2.2286067,2.163323025660538,75.327,1.747,9.079593147057453,74.8199193881365,4.68981346054319,37.998646921747,0.782881746925984,2.0240904126243344,3.268809875042557
Bhutan,3.8720935798226264,29.4044714589229,8.224163512637862,90.02140045,99,3.8501476017100584,4.41551638,2.6602595372658615,72.975,1.462,7.11243688593254,41.7352457989939,69.7129058637769,38.5621629050646,0.698146584889649,3.4036191950638264,1.2673176544019762
Botswana,1.2948042963050401,34.0669401658997,9.005773206234908,77.86699677,95,5.043425116919247,6.25574684,3.505557396986398,69.163,2.732,6.089239040547954,67.0212655349864,25.7590725645829,56.8649822627192,1.64031664035479,2.5835113482794516,1.6259507959822161
Central African Republic,5.348930315864033,20.7068173193684,6.272877006546167,13.8416996,40,6.539585955617669,10.65553188,4.107589788972121,57.408,6.012,0.925482656159534,43.6983692134165,79.5870849025493,105.177562449203,1.06107453184959,3.505133424560955,0.9082347627499804
